,Country,Happiness.2016,Happiness.Change
1, Denmark,7.526,-0.401
2,  Switzerland,7.509,0.035
3, Iceland,7.501,0
4, Norway,7.498,0.082
5, Finland,7.413,-0.259
6, Canada,7.404,-0.041
7, Netherlands,7.339,-0.119
8, New Zealand,7.334,-0.097
9, Australia,7.313,0.002
10, Sweden,7.291,-0.017
11, Israel,7.267,0.258
12, Austria,7.119,-0.003
13, United States,7.104,-0.261
14, Costa Rica,7.087,-0.171
15, Puerto Rico,7.039,0.446
16, Germany,6.994,0.486
17, Brazil,6.952,0.474
18, Belgium,6.929,-0.311
19, Ireland,6.907,-0.238
20, Luxembourg,6.871,0
21, Mexico,6.778,0.225
22, Singapore,6.739,0.099
23, United Kingdom,6.725,-0.161
24, Chile,6.705,0.826
25, Panama,6.701,0.191
26, Argentina,6.65,0.457
27, Czech Republic,6.596,0.126
28, United Arab Emirates,6.573,-0.161
29, Uruguay,6.545,0.804
30, Malta,6.488,0
31, Colombia,6.481,0.399
32, France,6.478,-0.336
33, Thailand,6.474,0.631
34, Saudi Arabia,6.379,-0.794
35, Taiwan,6.379,0.19
36, Qatar,6.375,0
37, Spain,6.361,-0.711
38, Algeria,6.355,0
39, Guatemala,6.324,0.211
40, Suriname,6.269,0
41, Kuwait,6.239,0.164
42, Bahrain,6.218,0
43, Trinidad and Tobago,6.168,0.336
44, Venezuela,6.084,-0.762
45, Slovakia,6.078,0.814
46, El Salvador,6.068,0.572
47, Malaysia,6.005,-0.132
48, Nicaragua,5.992,1.285
49, Uzbekistan,5.987,0.755
50, Italy,5.977,-0.735
51, Ecuador,5.976,0.966
52, Belize,5.956,-0.495
53, Japan,5.921,-0.446
54, Kazakhstan,5.919,0.322
55, Moldova,5.897,0.959
56, Russia,5.856,0.738
57, Poland,5.835,0.098
58, South Korea,5.835,0.295
59, Bolivia,5.822,0.322
60, Lithuania,5.813,-0.069
61, Belarus,5.802,0.165
62, Northern Cyprus,5.771,0
63, Slovenia,5.768,-0.044
64, Peru,5.743,0.73
65, Turkmenistan,5.658,0
66, Mauritius,5.648,0
67, Libya,5.615,0
68, Latvia,5.56,0.872
69, Cyprus,5.546,-0.692
70, Paraguay,5.538,0.536
71, Romania,5.528,0.31
72, Estonia,5.517,0.165
73, Jamaica,5.51,-0.698
74, Croatia,5.488,-0.333
75, Hong Kong,5.458,-0.053
76, Somalia,5.44,0
77, Kosovo,5.401,0.298
78, Turkey,5.389,0.216
79, Indonesia,5.314,0.295
80, Jordan,5.303,-0.638
81, Azerbaijan,5.291,0.642
82, Philippines,5.279,0.425
83, China,5.245,0.525
84, Bhutan,5.196,0
85, Kyrgyzstan,5.185,0.515
86, Serbia,5.177,0.426
87, Bosnia and Herzegovina,5.163,0.263
88, Montenegro,5.161,-0.035
89, Dominican Republic,5.155,0.07
90, Morocco,5.151,0
91, Hungary,5.145,0.07
92, Pakistan,5.132,-0.374
93, Lebanon,5.129,0.059
94, Portugal,5.123,-0.282
95, Macedonia,5.121,0.627
96, Vietnam,5.061,-0.299
97, Somaliland region,5.057,0
98, Tunisia,5.045,0
99, Greece,5.033,-1.294
100, Tajikistan,4.996,0.474
101, Mongolia,4.907,0.298
102, Laos,4.876,-0.344
103, Nigeria,4.875,0.075
104, Honduras,4.871,-0.375
105, Iran,4.813,-0.507
106, Zambia,4.795,0.381
107,   Nepal,4.793,0.135
108, Palestinian Territories,4.754,0.321
109, Albania,4.655,0.021
110, Bangladesh,4.643,0.17
111, Sierra Leone,4.635,1.028
112, Iraq,4.575,0
113, Namibia,4.574,-0.312
114, Cameroon,4.513,0.413
115, Ethiopia,4.508,0
116, South Africa,4.459,-0.686
117, Sri Lanka,4.415,0.037
118, India,4.404,-0.75
119, Myanmar,4.395,0
120, Egypt,4.362,-0.996
121, Armenia,4.36,-0.226
122, Kenya,4.356,-0.044
123, Ukraine,4.324,-0.701
124, Ghana,4.276,-0.6
125, Republic of the Congo,4.272,0
126, Georgia,4.252,0.561
127, Democratic Republic of the Congo,4.236,0
128, Senegal,4.219,-0.328
129, Bulgaria,4.217,0.373
130, Mauritania,4.201,0.052
131, Zimbabwe,4.193,0.639
132, Malawi,4.156,-0.205
133, Sudan,4.139,0
134, Gabon,4.121,0
135, Mali,4.073,0.059
136, Haiti,4.028,0.274
137, Botswana,3.974,-0.765
138, Comoros,3.956,0
139, Ivory Coast,3.916,0
140, Cambodia,3.907,0.045
141, Angola,3.866,0
142, Niger,3.856,-0.144
143, South Sudan,3.832,0
144, Chad,3.763,-0.025
145, Burkina Faso,3.739,-0.17
146, Uganda,3.739,-0.356
147, Yemen,3.724,-0.754
148, Madagascar,3.695,-0.285
149, Tanzania,3.666,-0.46
150, Liberia,3.622,-0.08
151, Guinea,3.607,0
152, Rwanda,3.515,-0.7
153, Benin,3.484,0.154
154, Afghanistan,3.36,0
155, Togo,3.303,0.1
156, Syria,3.069,0
157, Burundi,2.905,0
